target_id	length	eff_length	est_counts	tpm
NR_001477	163	22.8906	0	0
NM_058260	705	430.899	0	0
NM_058259	372	125.044	0	0
NM_001306277	171	24.6487	0	0
NM_001306279	825	549.249	0	0
NM_001306278	1602	1325.82	0	0
NM_058261	1695	1418.82	0	0
NM_058262	1686	1409.82	0	0
NM_058263	1425	1148.82	0	0
NR_049898	21	5.66667	0	0
NM_058264	732	457.411	0	0
NM_001026606	651	378.03	0	0
NM_058265	1341	1064.82	0	0
NM_001306235	942	665.821	0	0
NM_058267	3482	3205.82	0	0
NM_001306233	1875	1598.82	0	0
NM_001026607	1620	1343.82	0	0
NR_070190	40	14.7143	0	0
NM_001306234	132	21.5099	0	0
NM_001306236	2412	2135.82	0	0
NM_058269	672	398.485	0	0
NM_182095	1245	968.821	0	0
NM_001306237	294	71.2397	0	0
NM_058270	312	79.7817	0	0
NM_058271	1365	1088.82	0	0
NM_001261860	285	67.2679	0	0
NM_001306238	4536	4259.82	0	0
NM_001306239	4551	4274.82	0	0
NM_058274	636	363.517	0	0
NR_049899	221	37.7021	0	0
NR_049900	149	20.3892	0	0
NM_058275	735	460.411	1	0.361603
NR_049901	150	20.6458	0	0
NR_002606	134	21.4012	0	0
NM_001306336	759	484.08	0	0
NM_001083133	237	45.0217	0	0
NM_058277	534	266.254	0	0
NR_049902	21	5.66667	0	0
NM_058278	984	707.821	0	0
NM_001306335	777	501.834	0	0
NM_058279	1539	1262.82	0	0
NM_058280	1332	1055.82	0	0
NM_001026318	1248	971.821	0	0
NM_001306334	543	274.674	0	0
NM_058282	1053	776.821	0	0
NM_058283	4512	4235.82	0	0
NM_058285	4494	4217.82	0	0
NM_001306284	2010	1733.82	0	0
NM_058286	2463	2186.82	0	0
NM_182061	1686	1409.82	0	0
NM_058287	1647	1370.82	0	0
NR_131341	1696	1419.82	0	0
NM_001129013	675	401.485	0	0
NM_058288	693	419.156	0	0
NM_058289	486	222.524	0	0
NM_001306285	7137	6860.82	0	0
NM_001306286	5106	4829.82	0	0
NM_001026605	960	683.821	0	0
NM_058294	957	680.821	0	0
NM_058301	3780	3503.82	0	0
NM_058302	336	97.0001	0	0
NM_058305	1278	1001.82	0	0
NM_058307	1644	1367.82	0	0
NR_101513	117	27.1613	0	0
NR_049904	21	5.66667	0	0
NR_049905	21	5.66667	0	0
NM_058308	222	38.327	0	0
NM_058309	765	489.983	0	0
NM_001306291	456	195.708	0	0
NM_001306288	867	591.137	0	0
NM_001306287	906	630.015	0	0
NM_001306290	561	291.485	0	0
NM_001306289	972	695.821	0	0
NM_058310	1011	734.821	0	0
NM_058311	1263	986.821	0	0
NM_058312	1257	980.821	0	0
NM_001261901	1170	893.821	0	0
NM_182074	1068	791.821	0	0
NM_001306292	1791	1514.82	0	0
NM_058313	1929	1652.82	0	0
NM_058314	3279	3002.82	0	0
NM_001306332	588	317.132	0	0
NM_058315	2817	2540.82	0	0
NM_170793	2442	2165.82	0	0
NM_058318	1167	890.821	0	0
NM_001129071	1656	1379.82	0	0
NM_001129070	1695	1418.82	0	0
NM_058320	414	159.592	0	0
NM_058321	2868	2591.82	0	0
NM_058323	1752	1475.82	16	1.80494
NM_001306303	555	286.014	0	0
NM_058324	1335	1058.82	0	0
NM_058325	762	487.032	0	0
